The currently activated Python version 2.7.16 is not supported by the project (^3.9).
Trying to find and use a compatible version. 
Using python3 (3.9.6)
id,aggregated_by,aggregate_name,year,start_date,end_date,name,type,count,amount
38,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,Merchant payments,TOTAL,4004,9236375.740471343
39,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,Financial Services,TOTAL,175,706932.1397115812
40,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,Others,TOTAL,355,313313.0646014327
41,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Recharge & bill payments,TOTAL,59310,24756220.875469353
42,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Peer-to-peer payments,TOTAL,40697,289078946.7312394
43,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Merchant payments,TOTAL,16096,22682992.238478824
44,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Financial Services,TOTAL,572,961836.7129860274
45,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Others,TOTAL,808,539449.7721868362
46,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Peer-to-peer payments,TOTAL,81439,533316526.1814983
47,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Recharge & bill payments,TOTAL,80811,33710030.534383245
48,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Merchant payments,TOTAL,59391,56867468.940003954
49,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Financial Services,TOTAL,965,1880546.9672370641
50,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Others,TOTAL,1925,1508083.6917299272
51,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Recharge & bill payments,TOTAL,4200,1845307.4673655091
52,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Peer-to-peer payments,TOTAL,1871,12138655.299749982
53,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Merchant payments,TOTAL,298,452507.168646613
54,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Financial Services,TOTAL,33,10601.419933464953
55,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Others,TOTAL,256,184689.8662902223
56,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Recharge & bill payments,TOTAL,6735,2320944.731074479
57,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Peer-to-peer payments,TOTAL,3575,24511925.231047668
58,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Merchant payments,TOTAL,603,1024491.0133579008
59,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Financial Services,TOTAL,59,121336.0270987509
60,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,Others,TOTAL,368,359838.50537474576
61,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Recharge & bill payments,TOTAL,8636,4343504.868377829
62,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Peer-to-peer payments,TOTAL,6448,49270781.541635044
63,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Merchant payments,TOTAL,945,1627359.8394868043
64,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Financial Services,TOTAL,42,1481.4907042806485
65,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,Others,TOTAL,194,314343.39410715323
66,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Recharge & bill payments,TOTAL,11517,5450549.512294375
67,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Peer-to-peer payments,TOTAL,10451,81001456.97825177
68,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Merchant payments,TOTAL,1421,3552027.735492656
69,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Financial Services,TOTAL,29,76035.7877393286
70,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,Others,TOTAL,340,468266.0606770435
71,state,tamil-nadu,2019,2019-01-01,2019-03-31,Peer-to-peer payments,TOTAL,18645926,51296299081.44436
72,state,tamil-nadu,2019,2019-01-01,2019-03-31,Recharge & bill payments,TOTAL,8863289,2695317014.8660007
73,state,tamil-nadu,2019,2019-01-01,2019-03-31,Merchant payments,TOTAL,4195222,1924461188.9900146
74,state,tamil-nadu,2019,2019-01-01,2019-03-31,Financial Services,TOTAL,193261,31217137.545322973
75,state,tamil-nadu,2019,2019-01-01,2019-03-31,Others,TOTAL,377347,256742393.28426796
76,state,tamil-nadu,2019,2019-04-01,2019-06-30,Peer-to-peer payments,TOTAL,16952961,57924128549.06981
77,state,tamil-nadu,2019,2019-04-01,2019-06-30,Recharge & bill payments,TOTAL,8414514,3280033639.8500404
78,state,tamil-nadu,2019,2019-04-01,2019-06-30,Merchant payments,TOTAL,6296995,2690331792.5060787
79,state,tamil-nadu,2019,2019-04-01,2019-06-30,Financial Services,TOTAL,70142,18334602.389631532
80,state,tamil-nadu,2019,2019-04-01,2019-06-30,Others,TOTAL,437125,294847441.9421142
81,state,tamil-nadu,2019,2019-07-01,2019-09-30,Peer-to-peer payments,TOTAL,21277636,70615331408.53966
82,state,tamil-nadu,2019,2019-07-01,2019-09-30,Merchant payments,TOTAL,10344027,4079315732.661683
83,state,tamil-nadu,2019,2019-07-01,2019-09-30,Recharge & bill payments,TOTAL,9246678,3964144354.4161515
84,state,tamil-nadu,2019,2019-07-01,2019-09-30,Financial Services,TOTAL,88261,27213741.831077334
85,state,tamil-nadu,2019,2019-07-01,2019-09-30,Others,TOTAL,453581,273599406.1898495
86,state,tamil-nadu,2019,2019-10-01,2019-12-31,Peer-to-peer payments,TOTAL,28814008,91858026341.27563
87,state,tamil-nadu,2019,2019-10-01,2019-12-31,Merchant payments,TOTAL,16153034,6420193204.780616
88,state,tamil-nadu,2019,2019-10-01,2019-12-31,Recharge & bill payments,TOTAL,11157765,4681454397.562926
89,state,tamil-nadu,2019,2019-10-01,2019-12-31,Financial Services,TOTAL,60624,24332240.65556671
90,state,tamil-nadu,2019,2019-10-01,2019-12-31,Others,TOTAL,410980,206859328.2685905
91,state,tamil-nadu,2021,2021-01-01,2021-03-31,Peer-to-peer payments,TOTAL,57446279,206405230307.9611
92,state,tamil-nadu,2021,2021-01-01,2021-03-31,Merchant payments,TOTAL,53811885,30722779534.582508
93,state,tamil-nadu,2021,2021-01-01,2021-03-31,Recharge & bill payments,TOTAL,24826273,11115915388.739548
94,state,tamil-nadu,2021,2021-01-01,2021-03-31,Financial Services,TOTAL,170620,215319360.4840321
95,state,tamil-nadu,2021,2021-01-01,2021-03-31,Others,TOTAL,301617,208899281.88347316
96,state,tamil-nadu,2021,2021-04-01,2021-06-30,Peer-to-peer payments,TOTAL,60812902,216379027686.30246
97,state,tamil-nadu,2021,2021-04-01,2021-06-30,Merchant payments,TOTAL,52048347,33504798112.88382
98,state,tamil-nadu,2021,2021-04-01,2021-06-30,Recharge & bill payments,TOTAL,32753032,13155346942.255478
99,state,tamil-nadu,2021,2021-04-01,2021-06-30,Financial Services,TOTAL,192614,225113402.6634022
100,state,tamil-nadu,2021,2021-04-01,2021-06-30,Others,TOTAL,351547,223054882.44675264
101,state,tamil-nadu,2020,2020-01-01,2020-03-31,Peer-to-peer payments,TOTAL,30880360,101907683045.28436
102,state,tamil-nadu,2020,2020-01-01,2020-03-31,Merchant payments,TOTAL,21541556,8950736938.223478
103,state,tamil-nadu,2020,2020-01-01,2020-03-31,Recharge & bill payments,TOTAL,14134259,5493239429.7322235
104,state,tamil-nadu,2020,2020-01-01,2020-03-31,Financial Services,TOTAL,61427,41422107.813630365
105,state,tamil-nadu,2020,2020-01-01,2020-03-31,Others,TOTAL,335871,176604658.386683
106,state,tamil-nadu,2020,2020-04-01,2020-06-30,Peer-to-peer payments,TOTAL,21700844,82347647064.12332
107,state,tamil-nadu,2020,2020-04-01,2020-06-30,Recharge & bill payments,TOTAL,18474731,6414781159.484189
108,state,tamil-nadu,2020,2020-04-01,2020-06-30,Merchant payments,TOTAL,11477546,6909361871.628206
109,state,tamil-nadu,2020,2020-04-01,2020-06-30,Financial Services,TOTAL,78584,89189349.84916353
110,state,tamil-nadu,2020,2020-04-01,2020-06-30,Others,TOTAL,138405,65529451.74366937
111,state,tamil-nadu,2020,2020-07-01,2020-09-30,Peer-to-peer payments,TOTAL,31754077,123561080533.04672
112,state,tamil-nadu,2020,2020-07-01,2020-09-30,Merchant payments,TOTAL,20664887,12554589575.504852
113,state,tamil-nadu,2020,2020-07-01,2020-09-30,Recharge & bill payments,TOTAL,17521756,7476952307.406668
114,state,tamil-nadu,2020,2020-07-01,2020-09-30,Financial Services,TOTAL,129671,158512062.54590106
115,state,tamil-nadu,2020,2020-07-01,2020-09-30,Others,TOTAL,207434,90281020.15995154
116,state,tamil-nadu,2020,2020-10-01,2020-12-31,Peer-to-peer payments,TOTAL,47800741,172196381789.491
117,state,tamil-nadu,2020,2020-10-01,2020-12-31,Merchant payments,TOTAL,41297305,24417758781.65223
118,state,tamil-nadu,2020,2020-10-01,2020-12-31,Recharge & bill payments,TOTAL,21563946,9462546013.163391
119,state,tamil-nadu,2020,2020-10-01,2020-12-31,Financial Services,TOTAL,153044,186775413.14290395
120,state,tamil-nadu,2020,2020-10-01,2020-12-31,Others,TOTAL,364665,209735503.54521424
121,state,tamil-nadu,2018,2018-01-01,2018-03-31,Recharge & bill payments,TOTAL,3308548,646028338.3951533
122,state,tamil-nadu,2018,2018-01-01,2018-03-31,Peer-to-peer payments,TOTAL,2670613,10031518934.085688
123,state,tamil-nadu,2018,2018-01-01,2018-03-31,Merchant payments,TOTAL,326510,272002057.1736871
124,state,tamil-nadu,2018,2018-01-01,2018-03-31,Financial Services,TOTAL,115363,31876073.74792233
125,state,tamil-nadu,2018,2018-01-01,2018-03-31,Others,TOTAL,305588,280132294.11422664
126,state,tamil-nadu,2018,2018-04-01,2018-06-30,Recharge & bill payments,TOTAL,4464677,1189892955.8051775
127,state,tamil-nadu,2018,2018-04-01,2018-06-30,Peer-to-peer payments,TOTAL,4433762,18067624388.09562
128,state,tamil-nadu,2018,2018-04-01,2018-06-30,Merchant payments,TOTAL,627918,517130320.4660308
129,state,tamil-nadu,2018,2018-04-01,2018-06-30,Financial Services,TOTAL,167035,65402385.25640666
130,state,tamil-nadu,2018,2018-04-01,2018-06-30,Others,TOTAL,298736,285794226.64323723
131,state,tamil-nadu,2018,2018-07-01,2018-09-30,Peer-to-peer payments,TOTAL,8810836,26792462660.044968
132,state,tamil-nadu,2018,2018-07-01,2018-09-30,Recharge & bill payments,TOTAL,5148411,1521551955.205038
133,state,tamil-nadu,2018,2018-07-01,2018-09-30,Merchant payments,TOTAL,1290978,733189649.5729834
134,state,tamil-nadu,2018,2018-07-01,2018-09-30,Financial Services,TOTAL,191732,37049222.36590697
135,state,tamil-nadu,2018,2018-07-01,2018-09-30,Others,TOTAL,332121,245838753.995272
136,state,tamil-nadu,2018,2018-10-01,2018-12-31,Peer-to-peer payments,TOTAL,11538547,39180083690.57276
137,state,tamil-nadu,2018,2018-10-01,2018-12-31,Recharge & bill payments,TOTAL,7093764,2020329567.8245385
138,state,tamil-nadu,2018,2018-10-01,2018-12-31,Merchant payments,TOTAL,3145621,1742903221.432857
139,state,tamil-nadu,2018,2018-10-01,2018-12-31,Financial Services,TOTAL,228398,46571758.68242933
140,state,tamil-nadu,2018,2018-10-01,2018-12-31,Others,TOTAL,451114,312185737.38152075
141,state,lakshadweep,2019,2019-01-01,2019-03-31,Peer-to-peer payments,TOTAL,1183,8221402.368536929
142,state,lakshadweep,2019,2019-01-01,2019-03-31,Recharge & bill payments,TOTAL,1173,353870.52398354514
143,state,lakshadweep,2019,2019-01-01,2019-03-31,Merchant payments,TOTAL,113,183062.1455975621
144,state,lakshadweep,2019,2019-01-01,2019-03-31,Others,TOTAL,12,27795.441220958
145,state,lakshadweep,2019,2019-04-01,2019-06-30,Recharge & bill payments,TOTAL,1448,436735.1684614296
146,state,lakshadweep,2019,2019-04-01,2019-06-30,Peer-to-peer payments,TOTAL,1318,8602732.117788196
147,state,lakshadweep,2019,2019-04-01,2019-06-30,Merchant payments,TOTAL,137,190716.5411561734
148,state,lakshadweep,2019,2019-04-01,2019-06-30,Others,TOTAL,23,12340.30958308919
149,state,lakshadweep,2019,2019-07-01,2019-09-30,Recharge & bill payments,TOTAL,1528,503049.2411913635
150,state,lakshadweep,2019,2019-07-01,2019-09-30,Peer-to-peer payments,TOTAL,1455,8923273.862948446
151,state,lakshadweep,2019,2019-07-01,2019-09-30,Merchant payments,TOTAL,111,215159.68119447335
152,state,lakshadweep,2019,2019-07-01,2019-09-30,Others,TOTAL,10,10278.678434187355
153,state,lakshadweep,2019,2019-10-01,2019-12-31,Recharge & bill payments,TOTAL,1801,618155.9004644766
154,state,lakshadweep,2019,2019-10-01,2019-12-31,Peer-to-peer payments,TOTAL,1753,10383413.246670496
155,state,lakshadweep,2019,2019-10-01,2019-12-31,Merchant payments,TOTAL,188,211413.62244321496
156,state,lakshadweep,2019,2019-10-01,2019-12-31,Financial Services,TOTAL,2,34.39721181625656
157,state,lakshadweep,2019,2019-10-01,2019-12-31,Others,TOTAL,21,56896.23813384895
158,state,lakshadweep,2021,2021-01-01,2021-03-31,Peer-to-peer payments,TOTAL,3942,24823715.017422147
159,state,lakshadweep,2021,2021-01-01,2021-03-31,Recharge & bill payments,TOTAL,3541,1070209.4218526704
160,state,lakshadweep,2021,2021-01-01,2021-03-31,Merchant payments,TOTAL,1537,1040213.7953898906
161,state,lakshadweep,2021,2021-01-01,2021-03-31,Financial Services,TOTAL,19,15929.095105497145
162,state,lakshadweep,2021,2021-01-01,2021-03-31,Others,TOTAL,46,92715.5843109472
163,state,lakshadweep,2021,2021-04-01,2021-06-30,Recharge & bill payments,TOTAL,5499,1745295.828077295
164,state,lakshadweep,2021,2021-04-01,2021-06-30,Peer-to-peer payments,TOTAL,4069,23996417.49366483
165,state,lakshadweep,2021,2021-04-01,2021-06-30,Merchant payments,TOTAL,1743,1525331.9146529401
166,state,lakshadweep,2021,2021-04-01,2021-06-30,Financial Services,TOTAL,29,15052.018496008179
167,state,lakshadweep,2021,2021-04-01,2021-06-30,Others,TOTAL,44,101366.40306045809
168,state,lakshadweep,2020,2020-01-01,2020-03-31,Recharge & bill payments,TOTAL,2684,789255.2646123999
169,state,lakshadweep,2020,2020-01-01,2020-03-31,Peer-to-peer payments,TOTAL,2068,12463327.261836832
170,state,lakshadweep,2020,2020-01-01,2020-03-31,Merchant payments,TOTAL,387,216594.03077193064
171,state,lakshadweep,2020,2020-01-01,2020-03-31,Others,TOTAL,12,33192.017283045374
172,state,lakshadweep,2020,2020-04-01,2020-06-30,Recharge & bill payments,TOTAL,4497,1061694.138574572
173,state,lakshadweep,2020,2020-04-01,2020-06-30,Peer-to-peer payments,TOTAL,2176,14718605.188911092
174,state,lakshadweep,2020,2020-04-01,2020-06-30,Merchant payments,TOTAL,472,971609.4583537823
175,state,lakshadweep,2020,2020-04-01,2020-06-30,Financial Services,TOTAL,60,158593.59701229632
176,state,lakshadweep,2020,2020-04-01,2020-06-30,Others,TOTAL,15,32419.703092655054
177,state,lakshadweep,2020,2020-07-01,2020-09-30,Recharge & bill payments,TOTAL,4696,1186947.553816269
178,state,lakshadweep,2020,2020-07-01,2020-09-30,Peer-to-peer payments,TOTAL,2946,19189391.618742835
179,state,lakshadweep,2020,2020-07-01,2020-09-30,Merchant payments,TOTAL,903,842981.169451366
180,state,lakshadweep,2020,2020-07-01,2020-09-30,Financial Services,TOTAL,27,45457.50970027798
181,state,lakshadweep,2020,2020-07-01,2020-09-30,Others,TOTAL,17,42055.45694608544
182,state,lakshadweep,2020,2020-10-01,2020-12-31,Recharge & bill payments,TOTAL,5187,1499298.1127799235
183,state,lakshadweep,2020,2020-10-01,2020-12-31,Peer-to-peer payments,TOTAL,4741,27284123.245665
184,state,lakshadweep,2020,2020-10-01,2020-12-31,Merchant payments,TOTAL,1668,1227101.6378793938
185,state,lakshadweep,2020,2020-10-01,2020-12-31,Financial Services,TOTAL,22,13968.7539965527
186,state,lakshadweep,2020,2020-10-01,2020-12-31,Others,TOTAL,32,86826.16675951776
187,state,lakshadweep,2018,2018-01-01,2018-03-31,Peer-to-peer payments,TOTAL,423,1860278.2784597143
188,state,lakshadweep,2018,2018-01-01,2018-03-31,Recharge & bill payments,TOTAL,342,61432.04938505074
189,state,lakshadweep,2018,2018-01-01,2018-03-31,Merchant payments,TOTAL,5,590.7505138175776
190,state,lakshadweep,2018,2018-01-01,2018-03-31,Others,TOTAL,8,6310.102519157715
191,state,lakshadweep,2018,2018-04-01,2018-06-30,Peer-to-peer payments,TOTAL,1315,5757123.079919379
192,state,lakshadweep,2018,2018-04-01,2018-06-30,Recharge & bill payments,TOTAL,750,353202.7988510042
193,state,lakshadweep,2018,2018-04-01,2018-06-30,Merchant payments,TOTAL,42,64568.47789279556
194,state,lakshadweep,2018,2018-04-01,2018-06-30,Financial Services,TOTAL,6,9134.413223158994
195,state,lakshadweep,2018,2018-04-01,2018-06-30,Others,TOTAL,19,3780.7695141997474
196,state,lakshadweep,2018,2018-07-01,2018-09-30,Peer-to-peer payments,TOTAL,841,3926048.74488305
197,state,lakshadweep,2018,2018-07-01,2018-09-30,Recharge & bill payments,TOTAL,760,300978.32420203416
198,state,lakshadweep,2018,2018-07-01,2018-09-30,Merchant payments,TOTAL,87,94046.43333034206
199,state,lakshadweep,2018,2018-07-01,2018-09-30,Others,TOTAL,15,17958.809570422687
200,state,lakshadweep,2018,2018-10-01,2018-12-31,Recharge & bill payments,TOTAL,792,351201.0879000404
201,state,lakshadweep,2018,2018-10-01,2018-12-31,Peer-to-peer payments,TOTAL,689,3841230.430870924
202,state,lakshadweep,2018,2018-10-01,2018-12-31,Merchant payments,TOTAL,144,262079.85573632165
203,state,lakshadweep,2018,2018-10-01,2018-12-31,Financial Services,TOTAL,6,389.8932323919954
204,state,lakshadweep,2018,2018-10-01,2018-12-31,Others,TOTAL,11,8312.430483153179
205,state,telangana,2019,2019-01-01,2019-03-31,Peer-to-peer payments,TOTAL,40488967,87361237975.49301
206,state,telangana,2019,2019-01-01,2019-03-31,Merchant payments,TOTAL,12341901,4144368545.535969
207,state,telangana,2019,2019-01-01,2019-03-31,Recharge & bill payments,TOTAL,11525394,3619117615.485172
208,state,telangana,2019,2019-01-01,2019-03-31,Financial Services,TOTAL,463688,54547989.275453925
209,state,telangana,2019,2019-01-01,2019-03-31,Others,TOTAL,470752,343989909.8750894
210,state,telangana,2019,2019-04-01,2019-06-30,Peer-to-peer payments,TOTAL,46741594,141095702899.16147
211,state,telangana,2019,2019-04-01,2019-06-30,Merchant payments,TOTAL,25682382,8442740781.469844
212,state,telangana,2019,2019-04-01,2019-06-30,Recharge & bill payments,TOTAL,16225017,5603477828.5489645
213,state,telangana,2019,2019-04-01,2019-06-30,Financial Services,TOTAL,252173,43627344.86329399
214,state,telangana,2019,2019-04-01,2019-06-30,Others,TOTAL,709213,490894328.3915366
215,state,telangana,2019,2019-07-01,2019-09-30,Peer-to-peer payments,TOTAL,59981113,180342868388.36203
216,state,telangana,2019,2019-07-01,2019-09-30,Merchant payments,TOTAL,44035953,14308557740.55424
217,state,telangana,2019,2019-07-01,2019-09-30,Recharge & bill payments,TOTAL,16437222,6793699069.387364
218,state,telangana,2019,2019-07-01,2019-09-30,Financial Services,TOTAL,183163,39617186.74048498
219,state,telangana,2019,2019-07-01,2019-09-30,Others,TOTAL,857925,445278745.3818412
220,state,telangana,2019,2019-10-01,2019-12-31,Peer-to-peer payments,TOTAL,82587060,249346680995.99316
221,state,telangana,2019,2019-10-01,2019-12-31,Merchant payments,TOTAL,59347809,21510626607.08445
222,state,telangana,2019,2019-10-01,2019-12-31,Recharge & bill payments,TOTAL,20797056,9561315124.602655
223,state,telangana,2019,2019-10-01,2019-12-31,Financial Services,TOTAL,137291,33453857.404595934
224,state,telangana,2019,2019-10-01,2019-12-31,Others,TOTAL,703042,294688962.659046
225,state,telangana,2021,2021-01-01,2021-03-31,Merchant payments,TOTAL,185230619,95927278280.53006
226,state,telangana,2021,2021-01-01,2021-03-31,Peer-to-peer payments,TOTAL,179738195,676276353116.8419
227,state,telangana,2021,2021-01-01,2021-03-31,Recharge & bill payments,TOTAL,46371555,26447601338.53346
228,state,telangana,2021,2021-01-01,2021-03-31,Financial Services,TOTAL,262473,320153410.17969453
229,state,telangana,2021,2021-01-01,2021-03-31,Others,TOTAL,969268,387877900.5044867
230,state,telangana,2021,2021-04-01,2021-06-30,Peer-to-peer payments,TOTAL,230861833,872151973637.885
231,state,telangana,2021,2021-04-01,2021-06-30,Merchant payments,TOTAL,205232899,123207789311.2962
232,state,telangana,2021,2021-04-01,2021-06-30,Recharge & bill payments,TOTAL,58637866,31877277168.343227
233,state,telangana,2021,2021-04-01,2021-06-30,Financial Services,TOTAL,278546,300569264.1443888
234,state,telangana,2021,2021-04-01,2021-06-30,Others,TOTAL,856400,420723415.91505665
235,state,telangana,2020,2020-01-01,2020-03-31,Peer-to-peer payments,TOTAL,95668911,327641798044.80554
236,state,telangana,2020,2020-01-01,2020-03-31,Merchant payments,TOTAL,76818285,31076431477.91269
237,state,telangana,2020,2020-01-01,2020-03-31,Recharge & bill payments,TOTAL,26324268,12324266104.564993
238,state,telangana,2020,2020-01-01,2020-03-31,Financial Services,TOTAL,88184,59500639.38684589
239,state,telangana,2020,2020-01-01,2020-03-31,Others,TOTAL,509877,241784101.54604858
240,state,telangana,2020,2020-04-01,2020-06-30,Peer-to-peer payments,TOTAL,76683293,279478553909.7438
241,state,telangana,2020,2020-04-01,2020-06-30,Merchant payments,TOTAL,44181999,26712043204.891262
242,state,telangana,2020,2020-04-01,2020-06-30,Recharge & bill payments,TOTAL,30885875,15106945863.857046
243,state,telangana,2020,2020-04-01,2020-06-30,Financial Services,TOTAL,116776,134169906.74750492
244,state,telangana,2020,2020-04-01,2020-06-30,Others,TOTAL,187200,100126467.191328
245,state,telangana,2020,2020-07-01,2020-09-30,Peer-to-peer payments,TOTAL,116668399,437459188905.0534
246,state,telangana,2020,2020-07-01,2020-09-30,Merchant payments,TOTAL,86836471,49743225885.179474
247,state,telangana,2020,2020-07-01,2020-09-30,Recharge & bill payments,TOTAL,32352860,18378477087.576897
248,state,telangana,2020,2020-07-01,2020-09-30,Financial Services,TOTAL,195857,223377023.50525153
249,state,telangana,2020,2020-07-01,2020-09-30,Others,TOTAL,318539,156875854.55487928
250,state,telangana,2020,2020-10-01,2020-12-31,Peer-to-peer payments,TOTAL,160607487,591976601278.5154
251,state,telangana,2020,2020-10-01,2020-12-31,Merchant payments,TOTAL,143897953,81725950703.21272
252,state,telangana,2020,2020-10-01,2020-12-31,Recharge & bill payments,TOTAL,38174710,22006183348.80398
253,state,telangana,2020,2020-10-01,2020-12-31,Financial Services,TOTAL,230134,275357720.01805824
254,state,telangana,2020,2020-10-01,2020-12-31,Others,TOTAL,733503,366346176.40682477
255,state,telangana,2018,2018-01-01,2018-03-31,Recharge & bill payments,TOTAL,4209319,831912767.5937189
